id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
2006,20,male,black,not hispanic,yes,high school,never married,0,in school,"$110,000 to $129,999",working class,none,never,strong democrat,liberal,northeast,1.6118
2007,89+,female,white,not hispanic,no,less than high school,divorced,5,retired,"$20,000 to $22,499",lower class,protestant,never,"independent (neither, no response)",slightly conservative,northeast,0.2892
2008,63,male,white,not hispanic,yes,associate/junior college,married,0,"with a job, but not at work because of temporary illness, vacation, strike","$75,000 to $89,999",working class,inter-nondenominational,never,"independent (neither, no response)",liberal,northeast,0.7348
2009,80,male,white,not hispanic,yes,high school,divorced,2,retired,"$50,000 to $59,999",middle class,none,never,other party,liberal,northeast,0.7353
2010,61,female,white,not hispanic,yes,graduate,widowed,2,working full time,"$110,000 to $129,999",middle class,protestant,less than once a year,strong democrat,slightly liberal,northeast,0.2543
2011,31,female,white,not hispanic,yes,bachelor's,never married,2,working full time,"$75,000 to $89,999",working class,protestant,never,strong republican,extremely conservative,northeast,0.4788
2012,26,male,white,not hispanic,yes,graduate,never married,0,"unemployed, laid off, looking for work",,middle class,none,never,"independent, close to democrat",slightly liberal,northeast,0.3649
2013,72,female,white,not hispanic,yes,graduate,married,0,retired,"$60,000 to $74,999",working class,protestant,every week,not very strong democrat,slightly liberal,northeast,1.2848
2014,34,male,white,not hispanic,no,bachelor's,married,2,working full time,"$40,000 to $49,999",middle class,other,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",northeast,1.6062
2015,57,female,white,not hispanic,yes,associate/junior college,divorced,2,working part time,"$30,000 to $34,999",lower class,none,never,strong democrat,liberal,northeast,2.1063
2016,66,male,white,not hispanic,yes,high school,married,1,working full time,"$110,000 to $129,999",middle class,protestant,every week,strong republican,conservative,south,0.5843
2017,35,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$75,000 to $89,999",working class,other,never,"independent, close to democrat",liberal,south,0.4135
2018,61,female,white,not hispanic,yes,associate/junior college,divorced,2,working full time,"$35,000 to $39,999",working class,protestant,less than once a year,"independent, close to republican",slightly conservative,south,1.2129
2019,49,female,white,"another hispanic, latino, or spanish origin",no,high school,married,0,working full time,"$40,000 to $49,999",lower class,none,several times a year,not very strong democrat,liberal,south,0.6767
2020,65,male,white,not hispanic,yes,bachelor's,divorced,1,working full time,"$25,000 to $29,999",working class,protestant,every week,not very strong republican,extremely conservative,south,0.23
2021,30,male,white,not hispanic,yes,graduate,married,0,working full time,"$170,000 or over",middle class,protestant,about once or twice a year,strong republican,conservative,south,0.5285
